Signal,Label,Transducer,Units,Min,Max,Dmin,Dmax,PreFilter,Smp/Rec,Reserved
1,Fp1-A1          ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
2,Fp2-A2          ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
3,F3-A1           ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
4,F4-A2           ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
5,C3-A1           ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
6,C4-A2           ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
7,P3-A1           ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
8,P4-A2           ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
9,O1-A1           ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
10,O2-A2           ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
11,F7-A1           ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
12,F8-A2           ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
13,T3-A1           ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
14,T4-A2           ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
15,T5-A1           ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
16,T6-A2           ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
17,Add_lead1       ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
18,Add_lead2       ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
19,Add_lead3       ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
20,Add_lead4       ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
21,Add_lead5       ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
22,Add_lead6       ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
23,Add_lead7       ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
24,Add_lead8       ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
25,Add_lead9       ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
26,Add_lead10      ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
27,Add_lead11      ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
28,Add_lead12      ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
29,Add_lead13      ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
30,Add_lead14      ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
31,Add_lead15      ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
32,Add_lead16      ,1                                                                               ,uV      ,-3280.000000,3280.000000,-32768,32767,                                                                                ,200,                                
